Time,Date,Temerature,Humidity,Pressure,Latitude,Longitude,Speed,altitude,course
12:12:48,11/5/2022,42.69,13.58,941.52,33.646435,73.001572,18.41,540.3,49.85
12:12:50,11/5/2022,42.72,13.34,941.52,33.6465,73.001579,12.85,540.7,14.55
12:12:52,11/5/2022,42.76,13.47,941.46,33.646591,73.001534,17.48,540.4,333.26
12:12:54,11/5/2022,42.7,13.63,941.42,33.64669,73.001457,21.43,540.2,325.17
12:12:56,11/5/2022,42.68,13.63,941.37,33.646797,73.001396,22.54,539.8,328.66
12:12:58,11/5/2022,42.68,13.4,941.4,33.646904,73.00132,23.76,539.6,327.11
12:13:00,11/5/2022,42.47,13.36,941.37,33.647011,73.001244,23.91,539.2,327.32
12:13:02,11/5/2022,42.32,13.23,941.35,33.647137,73.001167,25.5,537.8,331.21
12:13:04,11/5/2022,42.33,13.43,941.36,33.647266,73.001091,26.8,537,331.04
12:13:06,11/5/2022,42.43,13.63,941.3,33.647396,73.000999,29.74,538.1,328.16
12:13:08,11/5/2022,42.42,13.72,941.28,33.64753,73.000923,28.19,537.3,332.54
12:13:10,11/5/2022,42.54,13.55,941.29,33.647663,73.000839,29.28,537.8,331.18
12:13:12,11/5/2022,42.65,13.95,941.26,33.647797,73.000748,29.58,538.2,328.95
12:13:14,11/5/2022,42.76,14.44,941.28,33.647903,73.000671,25.15,538.2,327.8
12:13:16,11/5/2022,42.92,13.96,941.31,33.647964,73.00061,17,539.8,325.72
12:13:18,11/5/2022,42.86,13.61,941.27,33.648006,73.000565,13.48,540.6,319.56
12:13:20,11/5/2022,42.98,13.55,941.23,33.648094,73.000504,17.3,541.2,327.89
12:13:22,11/5/2022,42.98,14.15,941.21,33.648193,73.000435,20.95,541.7,327.79
12:13:24,11/5/2022,42.91,14.2,941.16,33.6483,73.000366,22.28,541.8,330.94
12:13:26,11/5/2022,42.97,13.87,941.13,33.648422,73.00029,25.54,542.8,331.62
12:13:28,11/5/2022,43,13.69,941.16,33.64854,73.000206,26.59,543.7,330.09
12:13:30,11/5/2022,43.13,13.65,941.17,33.648666,73.000122,27.41,544.3,328.98
12:13:32,11/5/2022,43.2,13.31,941.11,33.648792,73.000038,28.48,544.4,329.51
12:13:34,11/5/2022,43.29,13.17,941.14,33.648895,72.999969,24.61,544.8,330.72
12:13:36,11/5/2022,43.37,12.99,941.16,33.648975,72.999916,19.85,544.7,330.98
12:13:38,11/5/2022,43.44,12.79,941.12,33.649059,72.999847,19.91,544.8,326.58
12:13:40,11/5/2022,43.51,12.66,941.06,33.649155,72.999763,21.74,544.4,323.46
12:13:42,11/5/2022,43.57,12.87,941.09,33.649254,72.999687,22.98,544.7,326.57
12:13:44,11/5/2022,43.62,12.71,941.06,33.649361,72.999603,24.65,544.8,326.4
12:13:46,11/5/2022,43.65,12.51,941.09,33.649479,72.999512,26.74,545.1,326.62
12:13:48,11/5/2022,43.74,12.86,941.08,33.649601,72.999413,28.37,545.3,325.94
12:13:50,11/5/2022,43.76,12.74,941.07,33.649727,72.999313,29.19,545.4,324.52
12:13:52,11/5/2022,43.77,12.84,941.07,33.64986,72.999207,30.48,545.8,325.35
12:13:54,11/5/2022,43.76,12.54,941.07,33.649998,72.9991,31.21,545.8,326.58
12:13:56,11/5/2022,43.64,12.22,941.11,33.650139,72.998993,32.63,545.8,327.37
12:13:58,11/5/2022,43.6,12.32,941.15,33.650291,72.998878,34.28,545.8,328.03
12:14:00,11/5/2022,43.57,12.39,941.17,33.650448,72.998772,35.61,545.9,329.27
12:14:02,11/5/2022,43.55,12.54,941.16,33.650612,72.998657,37.5,546,329.05
12:14:04,11/5/2022,43.6,12.48,941.16,33.65078,72.998535,38.23,546.1,328.08
12:14:06,11/5/2022,43.66,12.58,941.16,33.650951,72.998405,39.58,545.9,328.15
12:14:08,11/5/2022,43.7,12.51,941.15,33.651119,72.998283,39,546,328.8
12:14:10,11/5/2022,43.74,12.51,941.18,33.651283,72.998161,38.34,545.7,327.38
12:14:12,11/5/2022,43.77,12.45,941.2,33.651451,72.998039,38.87,545.5,328
12:14:15,11/5/2022,43.78,12.5,941.1,33.651703,72.997849,39.43,545.5,327.6
12:14:17,11/5/2022,43.78,12.74,941.17,33.651863,72.997726,38.04,545.7,328.58
12:14:19,11/5/2022,43.85,12.93,941.18,33.652035,72.997604,39.95,545.7,327.12
12:14:21,11/5/2022,43.91,12.73,941.2,33.652199,72.99749,38.41,548,328.19
12:14:23,11/5/2022,43.98,12.54,941.13,33.652363,72.997368,36.67,548.6,328.66
12:14:25,11/5/2022,44.06,12.57,941.1,33.652534,72.997246,41.06,548.9,328.06
12:14:27,11/5/2022,44.1,12.66,941.05,33.652706,72.997116,39.5,547.4,328.08
12:14:29,11/5/2022,44.12,12.22,940.97,33.652874,72.996994,38.24,546.9,329.74
12:14:31,11/5/2022,44.15,12.11,941,33.653046,72.996872,40.23,546.6,327.95
12:14:33,11/5/2022,44.11,11.79,940.94,33.653214,72.996735,39.95,546.8,327.52
12:14:35,11/5/2022,44.13,11.65,941.04,33.653385,72.996605,40.41,547.5,327.94
12:14:37,11/5/2022,44.14,11.79,940.88,33.653557,72.996475,40.02,547.4,327.57
12:14:39,11/5/2022,44.17,12.01,940.82,33.653725,72.996353,38.39,548,328.09
12:14:41,11/5/2022,44.14,12.04,940.68,33.653885,72.996231,37.54,548.2,327.37
12:14:43,11/5/2022,44.1,11.97,940.64,33.654049,72.996109,37.67,549.1,327.96
12:14:45,11/5/2022,44.08,11.81,940.63,33.654209,72.995995,37.23,549.6,329.63
12:14:47,11/5/2022,44.07,11.71,940.67,33.65435,72.995888,30.84,550.4,328.71
12:14:49,11/5/2022,44.16,11.56,940.73,33.654446,72.995811,18.45,551.6,327.99
12:14:51,11/5/2022,44.22,11.99,940.68,33.654514,72.995766,15.69,552.8,331.28
12:14:53,11/5/2022,44.24,11.8,940.61,33.654606,72.995712,21.54,552.2,333.41
12:14:55,11/5/2022,44.33,12.14,940.58,33.65472,72.995659,25.97,553.2,338.57
12:14:57,11/5/2022,44.19,12.01,940.48,33.654861,72.995636,28.26,553.4,354.28
12:14:59,11/5/2022,44.14,12.38,940.4,33.655003,72.995689,30.02,553.2,26.02
12:15:01,11/5/2022,44.18,12.07,940.33,33.655109,72.995811,28.61,553.7,44.67
12:15:03,11/5/2022,44.23,11.85,940.28,33.655197,72.995949,28.87,554.1,51.9
12:15:05,11/5/2022,44.26,11.81,940.28,33.655315,72.996017,25.74,554.3,17.91
12:15:07,11/5/2022,44.33,11.58,940.24,33.655441,72.995972,26.69,554.2,337.2
12:15:09,11/5/2022,44.36,11.7,940.16,33.655563,72.995895,28.17,554.8,332.35
12:15:11,11/5/2022,44.44,11.67,940.13,33.655685,72.995804,27.24,554.3,327.61
12:15:13,11/5/2022,44.52,12.02,940.12,33.655792,72.99572,23.65,554.3,325.71
12:15:15,11/5/2022,44.62,12.15,940.17,33.655857,72.995644,16.28,555,316.94
12:15:17,11/5/2022,44.64,11.69,940.15,33.655849,72.995552,16.61,554.9,272.75
12:15:19,11/5/2022,44.71,11.78,940.15,33.655804,72.995453,21.48,553.8,241.68
12:15:21,11/5/2022,44.73,11.45,940.14,33.655766,72.995316,23.74,553.8,252.58
12:15:23,11/5/2022,44.76,11.55,940.2,33.655758,72.995163,27.41,552.9,270.17
12:15:25,11/5/2022,44.72,11.89,940.19,33.655807,72.995018,26.56,552,298.49
12:15:27,11/5/2022,44.65,12.09,940.27,33.655903,72.994911,26.41,552.1,320.36
12:15:29,11/5/2022,44.68,12.24,940.32,33.655975,72.994827,18.59,551.7,315.11
12:15:31,11/5/2022,44.79,12.05,940.33,33.656017,72.994736,18.17,551.5,297.29
12:15:33,11/5/2022,44.87,12.02,940.35,33.656002,72.994621,19.08,549.7,267.12
12:15:35,11/5/2022,44.96,12.11,940.32,33.655972,72.994499,23.54,550.7,247.44
12:15:37,11/5/2022,45.05,12.06,940.33,33.65591,72.99437,24.63,551.9,239.57
12:15:39,11/5/2022,45.08,11.53,940.33,33.655861,72.99427,14.98,552.2,237.43
12:15:41,11/5/2022,45.14,11.44,940.35,33.655842,72.994232,1.65,550.8,239.33
12:15:43,11/5/2022,45.08,11.65,940.35,33.655834,72.994232,1.11,550.4,239.33
